dataset,layer,PAM,QAM,SAM
alpaca,0,0.46336280294118054,0.36874587604911485,0.10397278768071658
alpaca,1,0.5008065484507824,0.3486688770190813,0.08019634509677416
alpaca,2,0.9010975754773244,0.06263225171242084,0.025253617901598774
alpaca,3,0.9177888692496344,0.054079668320646306,0.019570011268024247
alpaca,4,0.8932230774080381,0.07916067174312957,0.016124693180308895
alpaca,5,0.8772273936010242,0.09162473469485122,0.017095103419077304
alpaca,6,0.8827996375155636,0.07557567461645441,0.025799892047777745
alpaca,7,0.8720464093913324,0.0769120937362348,0.02760981009019275
alpaca,8,0.8674323490820826,0.08364145389142039,0.024635341989039716
alpaca,9,0.8189023072167765,0.12485858613796154,0.02854566195903999
alpaca,10,0.8184398470201996,0.109212409730344,0.035320722018936976
alpaca,11,0.8530800374684623,0.09096606933534986,0.028286358545474285
alpaca,12,0.8002684625989059,0.12546216609823205,0.038320527885171034
alpaca,13,0.7844044143613428,0.12220423693739577,0.04913305520861741
alpaca,14,0.8105603722878731,0.10336428154016175,0.04247966820408692
alpaca,15,0.8083818631316535,0.10875436231664935,0.04771271265228279
alpaca,16,0.8526591146853753,0.09412726242366261,0.03356899816109035
alpaca,17,0.8473939754627645,0.08456912967141761,0.045826312438849756
alpaca,18,0.8475636961613782,0.0873310000400852,0.049614840200370054
alpaca,19,0.8795696826360654,0.0837424693597859,0.024470879649254585
alpaca,20,0.8814057554575265,0.08440200768378872,0.022566451823372517
alpaca,21,0.8694502020625078,0.08518183082065661,0.033186108148754556
alpaca,22,0.8445606782380491,0.09160165693139788,0.04337151510876538
alpaca,23,0.8761619509127923,0.08092105413595163,0.03156466107540837
alpaca,24,0.8422241715260316,0.09948316235349011,0.04119563704041184
alpaca,25,0.8667438588186633,0.07961033878292482,0.03609425569026939
alpaca,26,0.8260451847416698,0.11681170824864238,0.030173595585594057
alpaca,27,0.8445144922428881,0.08699487237462562,0.044016213090824576
alpaca,28,0.8550565714263939,0.08398360658276033,0.033834943648832334
alpaca,29,0.818555000126853,0.12000093818427558,0.034023512829458015
alpaca,30,0.8381784451163549,0.09142349875506625,0.050152216137605024
alpaca,31,0.7152251282043289,0.19385586115278783,0.05950813702414507
flan,0,0.8729032250535056,0.03639975515540698,0.0568391383208646
flan,1,0.8002420786488801,0.0642626920339535,0.05640695370224421
flan,2,0.920001914401073,0.030667818115034606,0.031599403738218824
flan,3,0.9420463685644791,0.01977492216574319,0.025504631038547814
flan,4,0.966203741338104,0.010549100705866295,0.011596483554708357
flan,5,0.9288174844743117,0.03703707455515541,0.017922731336357176
flan,6,0.9091210611071437,0.029117954522475425,0.04535361165475479
flan,7,0.8629121598508209,0.06194684405165617,0.041594039270039504
flan,8,0.910067845005542,0.034690345048337574,0.029978707097197913
flan,9,0.8680012957379222,0.05921962559299573,0.03214046578104899
flan,10,0.8616259241709485,0.059382231839044834,0.03182627137935924
flan,11,0.8812268284801393,0.0431780258754452,0.03727200445271592
flan,12,0.8590298916958272,0.053869778436855996,0.03998475379747106
flan,13,0.871511336909607,0.04957383263637894,0.042169698573670755
flan,14,0.9121837498433888,0.027705416588451045,0.023515884705630014
flan,15,0.8849325464572757,0.03888402408261754,0.03586705487203289
flan,16,0.9114195762947201,0.0302525721087477,0.02897370005312041
flan,17,0.9179055611789226,0.029887593772928087,0.031472292056187144
flan,18,0.8979796943254769,0.039866100941853805,0.03770432404067833
flan,19,0.9391071752412244,0.02370536602890752,0.025542087646799702
flan,20,0.9503212309163064,0.018957957185948546,0.018423441790496327
flan,21,0.9280359859904275,0.02565888725255718,0.02955708344991763
flan,22,0.908699033902958,0.0290554732542887,0.030464427007777885
flan,23,0.9515600235760212,0.0195570223391087,0.016218138697390715
flan,24,0.91649842931889,0.033809528389429036,0.0321629974508096
flan,25,0.938283858592622,0.024903615870318845,0.023416054949998398
flan,26,0.9372296316176653,0.020844006309712313,0.021350214108292676
flan,27,0.9058833808195778,0.03168843415368428,0.037427886578091145
flan,28,0.9328896411694586,0.025681238170268444,0.02442353552614577
flan,29,0.9097781306272372,0.03676207840673669,0.03191123396949024
flan,30,0.8913672401953954,0.03949895165909538,0.04462001681852144
flan,31,0.9028696961840614,0.03339252484442113,0.03430406852852684
sharegpt,0,0.0577155459171673,0.29623767554789304,0.6402606824017174
sharegpt,1,0.06262207935616478,0.24510189825635584,0.6653323834604331
sharegpt,2,0.48130057349970395,0.022726854926359563,0.14154436643884488
