dataset,layer,head,PAM,QAM,SAM
alpaca,0,0,0.3254674734175205,0.40619633048772813,0.14947034761309624
alpaca,0,1,0.00010935722784324753,0.14332009077072144,0.8546924495697021
alpaca,0,10,0.594292012322694,0.35748821101151407,0.02160301458556205
alpaca,0,11,0.5496709020342678,0.32648814011365174,0.0634263061452657
alpaca,0,12,0.3338039618637413,0.43302058793604375,0.15763069607317448
alpaca,0,13,0.5412882660701871,0.34395151782780886,0.052815993539989
alpaca,0,14,0.39428976353257894,0.3097658617049456,0.10911580115556717
alpaca,0,15,0.46343290760414674,0.4239524997025728,0.0605132807046175
alpaca,0,16,0.5062854149006307,0.35953934971243146,0.1009369450993836
alpaca,0,17,0.6698227634094656,0.32910251161052656,0.00031429867589395145
alpaca,0,18,0.5403110952756833,0.45210784741677346,0.004035130501724779
alpaca,0,19,0.4742637908295728,0.39999072708189487,0.05821400644257665
alpaca,0,2,0.48604920752346514,0.2061635460332036,0.0790365478862077
alpaca,0,20,0.1459229040145874,0.3506933531165123,0.4509561224281788
alpaca,0,21,0.6228085328266024,0.30895911844447255,0.023839445929042996
alpaca,0,22,0.5171122805960476,0.31233006283640863,0.10962023729458452
alpaca,0,23,0.39724621335975824,0.3594442332535982,0.20652466848492623
alpaca,0,24,0.5442420904897154,0.3749083010852337,0.058001552144996825
alpaca,0,25,0.3261719835514668,0.48008678287267686,0.13086941555142403
alpaca,0,26,0.4474083429947495,0.36047032207250596,0.025933030718006192
alpaca,0,27,0.49168840805068614,0.3310838295146823,0.14988462666049598
alpaca,0,28,0.47057803873904047,0.4414087598398328,0.05233071525930427
alpaca,0,29,0.6137517972756177,0.3706709785154089,0.006789124574279413
alpaca,0,3,0.4862743385694921,0.4003337309509516,0.06968639763072133
alpaca,0,30,0.47084275022149086,0.37590324997901914,0.10414965194649994
alpaca,0,31,0.6465696791559458,0.34863904549914876,0.0020554536324925723
alpaca,0,4,0.14067225112579762,0.6380069559812546,0.012132384101860225
alpaca,0,5,0.5061249830760062,0.3623382691293955,0.07378569457679987
alpaca,0,6,0.6216077049635351,0.32985406355932356,0.02382306831423193
alpaca,0,7,0.5190713665448129,0.3571113456785679,0.06557016824139282
alpaca,0,8,0.43028030728251904,0.48625075770542026,0.025589670082554222
alpaca,0,9,0.5501488052681088,0.32028765212744476,0.023782960218377412
alpaca,1,0,0.14063209978863597,0.554460911154747,0.1979004307091236
alpaca,1,1,0.5795579478889704,0.31954777278006075,0.04598878537304699
alpaca,1,10,0.4008710910379887,0.42643946684896944,0.062217043898999694
alpaca,1,11,0.5968512578308582,0.29855801701545714,0.04501395012717694
alpaca,1,12,0.5939672312606126,0.3345076714269817,0.03400401493534446
alpaca,1,13,0.5342292623221874,0.3194977346807718,0.07164565712213516
alpaca,1,14,0.5361635568737984,0.3657548851892352,0.050448973383754495
alpaca,1,15,0.49259124174714086,0.3207690793275833,0.10982938908040524
alpaca,1,16,0.5467302826046944,0.30360246773809196,0.07225338291376829
alpaca,1,17,0.5240643754974008,0.35974961234256625,0.043994059534743425
alpaca,1,18,0.6655568884685635,0.2552132301777601,0.022069643014110626
alpaca,1,19,0.3293066388368607,0.4040919382870197,0.18217286817729472
alpaca,1,2,0.403775865547359,0.42781065627932546,0.10652091592550278
alpaca,1,20,0.5745252133905887,0.32733718063682316,0.04566688219085336
alpaca,1,21,0.6025364001095295,0.3149117061495781,0.03936180874705315
alpaca,1,22,0.08965683052316308,0.4961735340952873,0.3425492459535599
alpaca,1,23,0.6017436952143908,0.2995073300786316,0.036187982549890876
alpaca,1,24,0.54899160631001,0.3070012083277106,0.08176816951483488
alpaca,1,25,0.3885038554854691,0.3414389716088772,0.06886299304664135
alpaca,1,26,0.5630469133332372,0.26190385561436413,0.04787521676160395
alpaca,1,27,0.40037497036159037,0.3771500442177057,0.14665219485759734
alpaca,1,28,0.5295053992420435,0.32167363971471785,0.08548624763265252
alpaca,1,29,0.4370219840481877,0.38455827727913855,0.11690303765237331
alpaca,1,3,0.592144536562264,0.31730394771322606,0.04091510962694883
alpaca,1,30,0.5384856880642473,0.3436265385523438,0.059109303802251816
alpaca,1,31,0.5428650832921267,0.3543535913899541,0.05304542697966099
alpaca,1,4,0.5430508583411574,0.34052270438522103,0.060154179744422435
alpaca,1,5,0.5493461768887937,0.3546978431195021,0.05337136032059789
alpaca,1,6,0.5653226734697818,0.2927494029328227,0.07736053077504039
alpaca,1,7,0.4216794607043266,0.41192899964749813,0.09910165678709745
alpaca,1,8,0.5901964399218559,0.30249990029260515,0.042259454312734306
alpaca,1,9,0.6025140254572033,0.3180619456060231,0.025593127645552157
alpaca,2,0,0.9514128679037094,0.02779172234237194,0.01687506966292858
alpaca,2,1,0.9438619703054428,0.042467965483665465,0.009162061614915729
alpaca,2,10,0.9637819367647171,0.022396087888628246,0.008303344084415585
alpaca,2,11,0.9606286382675171,0.022243982888758184,0.01310124141164124
alpaca,2,12,0.9781312501430511,0.013960824622772634,0.006008643587119877
alpaca,2,13,0.9601371932029724,0.022155713718384505,0.014031578744761646
alpaca,2,14,0.9173901087045669,0.06605076757259667,0.006732707747723907
alpaca,2,15,0.9759287178516388,0.016535862516611814,0.004567546064499765
alpaca,2,16,0.9510221612453461,0.02871124847792089,0.015165083892643452
alpaca,2,17,0.9635145682096481,0.01805363904684782,0.015499802008271217
alpaca,2,18,0.7435131382942199,0.11086777921766043,0.12020243473351001
alpaca,2,19,0.9726394462585449,0.015294753923080861,0.009449789132922888
alpaca,2,2,0.9373641860485077,0.034464315436780454,0.022923619477078317
alpaca,2,20,0.9165512073040009,0.059916113326326015,0.017031813324429095
alpaca,2,21,0.9643453979492187,0.028463211809284985,0.0036347580270376057
alpaca,2,22,0.9503493517637253,0.04343447396531701,0.0032221940188901497
alpaca,2,23,0.9086537516117096,0.08390912958187982,0.0031948971515521406
